Title,EditionDate,Slug,Hook,FullEditionUrl,SummaryUrl,AudioUrl,VideoUrl,VideoThumbUrl,Status,Featured
"Week of July 10, 2026",2026-07-10,2026-07-10,"Uber's Agentic Pods pair AI-proficient engineers with departmental experts to redesign complete workflows. Runway Dev unifies first- and third-party media models behind one enterprise platform. Meta launched Muse Image and previewed Muse Video, GPT-5.6 became generally available with ChatGPT Work, and LucidLink connected Frame.io footage with external production storage.",{SITE_URL}/AVSDispatchContent/editions/2026-07-10-full.html,{SITE_URL}/AVSDispatchContent/editions/2026-07-10-summary.html,{SITE_URL}/AVSDispatchContent/audio/2026-07-10.mp3,{SITE_URL}/AVSDispatchContent/video/2026-07-10.mp4,{SITE_URL}/AVSDispatchContent/thumbs/2026-07-10.png,Published,Yes
"Week of July 3, 2026",2026-07-03,2026-07-03,"Google brought Veo 3.1 into Flow with audio support across reference, frame, and extension workflows. Anthropic released Claude Sonnet 5 for lower-cost agentic coding and tool use. Runway expanded its Bertelsmann partnership, Adobe's Topaz deal put enhancement and restoration back in focus, and the video model market kept splitting around native audio, reference capacity, editable outputs, and workflow deployment.",{SITE_URL}/AVSDispatchContent/editions/2026-07-03-full.html,{SITE_URL}/AVSDispatchContent/editions/2026-07-03-summary.html,{SITE_URL}/AVSDispatchContent/audio/2026-07-03.mp3,{SITE_URL}/AVSDispatchContent/video/2026-07-03.mp4,{SITE_URL}/AVSDispatchContent/thumbs/2026-07-03.png,Published,No
"Week of June 26, 2026",2026-06-26,2026-06-26,"AI video control moved from better prompts toward better reference systems as creators use Blender camera paths, depth passes, edge passes, pose passes, grey-box scenes, and 3D blocking to guide video models. ByteDance previewed Seedance 2.5 with longer clips and more reference inputs, OpenAI announced GPT-5.6 in limited preview, and Sonilo brought licensed video-to-music generation to fal.ai.",{SITE_URL}/AVSDispatchContent/editions/2026-06-26-full.html,{SITE_URL}/AVSDispatchContent/editions/2026-06-26-summary.html,{SITE_URL}/AVSDispatchContent/audio/2026-06-26.mp3,{SITE_URL}/AVSDispatchContent/video/2026-06-26.mp4,{SITE_URL}/AVSDispatchContent/thumbs/2026-06-26.png,Published,No
"Week of June 19, 2026",2026-06-19,2026-06-19,"Adobe Firefly AI Assistant moves into Premiere, Photoshop, Illustrator, InDesign, and Frame.io. Google Vids adds longer Veo clips and parallel generation. Palmier Pro brings MCP-connected agents to a Mac video timeline. Claude Fable 5 reaction remains focused on hard coding and long-horizon agent work. LTX Trainer makes open audio-video models more customizable, while Mistral Voxtral TTS adds a compact multilingual voice model.",{SITE_URL}/AVSDispatchContent/editions/2026-06-19-full.html,{SITE_URL}/AVSDispatchContent/editions/2026-06-19-summary.html,{SITE_URL}/AVSDispatchContent/audio/2026-06-19.mp3,{SITE_URL}/AVSDispatchContent/video/2026-06-19.mp4,{SITE_URL}/AVSDispatchContent/thumbs/2026-06-19.png,Published,No
"Week of June 12, 2026",2026-06-12,2026-06-12,"Luma Ray 3.2 brings AI video closer to production finishing with frame-level control, HDR, EXR export, and API access. PixVerse Canvas turns AI video into a node-based workspace with Seedance 2.0 support. Claude Fable 5 draws strong reaction for hard coding and long-horizon agent work. ElevenLabs Avatars combines voice and lip-sync video in one flow, while Apple Music Understanding and Google Magenta RealTime 2 move audio intelligence closer to local creative tools.",{SITE_URL}/AVSDispatchContent/editions/2026-06-12-full.html,{SITE_URL}/AVSDispatchContent/editions/2026-06-12-summary.html,{SITE_URL}/AVSDispatchContent/audio/2026-06-12.mp3,{SITE_URL}/AVSDispatchContent/video/2026-06-12.mp4,{SITE_URL}/AVSDispatchContent/thumbs/2026-06-12.png,Published,No
"Week of June 5, 2026",2026-06-05,2026-06-05,"Microsoft Build 2026 moves from Copilot to Autopilot with Scout, Work IQ APIs, Web IQ, Windows Agent Framework, Execution Containers, and Aion on-device models. DaVinci Resolve 21 officially ships with a new Photo page, IntelliSearch, CineFocus, and Final Cut Pro 12 XML. Grok Imagine 1.5 Preview adds an initial image-to-video API with native audio capabilities. PAI 2.0, VidMuse 2.0, OttoBox, and Adobe Firefly partner models show AI video tools becoming production workspaces rather than prompt boxes.",{SITE_URL}/AVSDispatchContent/editions/2026-06-05-full.html,{SITE_URL}/AVSDispatchContent/editions/2026-06-05-summary.html,{SITE_URL}/AVSDispatchContent/audio/2026-06-05.mp3,{SITE_URL}/AVSDispatchContent/video/2026-06-05.mp4,{SITE_URL}/AVSDispatchContent/thumbs/2026-06-05.png,Published,No
"Week of May 29, 2026",2026-05-29,2026-05-29,"Runway ships Aleph 2.0 + Edit Studio - in-context video editing, 30s at 1080p, multi-shot consistency. Amazon MGM + AWS announce the GenAI Creators' Fund at AI on the Lot in Culver City, greenlight three Prime Video animated series, and unveil Project Nara - 'the only end-to-end AI content creation ecosystem in the industry.' Stable Audio 3 ships open-weight, runs on a MacBook Pro M4. Threadline launches as the first AI editor cutting on intonation, not silence. Avaturn open-sources AVTR-1 with sub-200ms real-time avatar duplex. Microsoft Build (June 2-3) and Apple WWDC (June 8-12) up next.",{SITE_URL}/AVSDispatchContent/editions/2026-05-29-full.html,{SITE_URL}/AVSDispatchContent/editions/2026-05-29-summary.html,{SITE_URL}/AVSDispatchContent/audio/2026-05-29.mp3,{SITE_URL}/AVSDispatchContent/video/2026-05-29.mp4,{SITE_URL}/AVSDispatchContent/thumbs/2026-05-29.png,Published,No
"Week of May 22, 2026",2026-05-22,2026-05-22,"Google I/O 2026: Gemini Omni Flash ships a multimodal video model with conversational editing to the Gemini app, Flow, and free to YouTube Shorts. Gemini 3.5 Flash claims 4x speed and < 1/2 cost vs Claude Opus 4.7 and GPT-5.5. Flow becomes a creative copilot with Flow Agent and vibe-coded Flow Tools. Lyria 3 + Pro ship for developers. Karpathy joins Anthropic to accelerate pre-training research. OpenAI disproves an 80-year-old Erdos conjecture. Cannes 2026 wraps: AI came out of the closet.",{SITE_URL}/AVSDispatchContent/editions/2026-05-22-full.html,{SITE_URL}/AVSDispatchContent/editions/2026-05-22-summary.html,{SITE_URL}/AVSDispatchContent/audio/2026-05-22.mp3,{SITE_URL}/AVSDispatchContent/video/2026-05-22.mp4,{SITE_URL}/AVSDispatchContent/thumbs/2026-05-22.png,Published,No
"Week of May 15, 2026",2026-05-15,2026-05-15,"OpenAI ships three Realtime voice models - streaming transcription at $1.02/hour, live translation at $2.04/hour, and a GPT-5-class voice agent with parallel tool calling. Anthropic locks down 220K GPUs via SpaceX and doubles Claude Code rate limits. Cannes 2026 launches Human Provenance - the first open-license AI disclosure standard - while Soderbergh premieres an AI-assisted Lennon documentary. Krea 2 ships a style-first foundation image model. Flick raises $6M. Vertigo + Federation spin out amersia + Woven from ""Critterz.""",{SITE_URL}/AVSDispatchContent/editions/2026-05-15-full.html,{SITE_URL}/AVSDispatchContent/editions/2026-05-15-summary.html,{SITE_URL}/AVSDispatchContent/audio/2026-05-15.mp3,{SITE_URL}/AVSDispatchContent/video/2026-05-15.mp4,{SITE_URL}/AVSDispatchContent/thumbs/2026-05-15.png,Published,No
"Week of May 8, 2026",2026-05-08,2026-05-08,"Cannes 2026 opens with the AI question split clean down the middle: AGC boards ""Critterz"" while the festival bans AI from Palme d'Or competition. OpenAI ships GPT-5.5 Instant as the new ChatGPT default with a 52.5% reduction in hallucinated claims. xAI's Grok 4.3 lands with strong agentic benchmarks at half the price. Topaz adds Hyperion 2 + a native Premiere panel. Twinnin raises $3M to license actor likenesses while YouTube's deepfake-detection rolls out to Hollywood.",{SITE_URL}/AVSDispatchContent/editions/2026-05-08-full.html,{SITE_URL}/AVSDispatchContent/editions/2026-05-08-summary.html,{SITE_URL}/AVSDispatchContent/audio/2026-05-08.mp3,{SITE_URL}/AVSDispatchContent/video/2026-05-08.mp4,{SITE_URL}/AVSDispatchContent/thumbs/2026-05-08.png,Published,No
